index	name	color
0	Unknown	#000000
1	Left-Thalamus-Proper	#00760e
2	Left-Caudate	#7abadc
3	Left-Putamen	#ec0db0
4	Left-Pallidum	#0c30ff
5	Left-Hippocampus	#dcd814
6	Left-Amygdala	#67ffff
7	Left-Accumbens-area	#ffa500
8	Left-VentralDC	#a52a2a
9	Right-Thalamus-Proper	#00760e
10	Right-Caudate	#7abadc
11	Right-Putamen	#ec0db0
12	Right-Pallidum	#0d30ff
13	Right-Hippocampus	#dcd814
14	Right-Amygdala	#67ffff
15	Right-Accumbens-area	#ffa500
16	Right-VentralDC	#a52a2a
17	Cbm_Left_I_IV	#4682b4
18	Cbm_Left_V	#cd3e4e
19	Cbm_Left_VI	#c43afa
20	Cbm_Left_CrusI	#e69422
21	Cbm_Left_CrusII	#7abadc
22	Cbm_Left_VIIb	#ccb68e
23	Cbm_Left_VIIIa	#dcd814
24	Cbm_Left_VIIIb	#3c3ad2
25	Cbm_Left_IX	#3c3ad2
26	Cbm_Left_X	#ffa500
27	Cbm_Right_I_IV	#f5f5f5
28	Cbm_Right_V	#781286
29	Cbm_Right_VI	#dcf8a4
30	Cbm_Right_CrusI	#00760e
31	Cbm_Right_CrusII	#0c30ff
32	Cbm_Right_VIIb	#779fb0
33	Cbm_Right_VIIIa	#50c462
34	Cbm_Right_VIIIb	#3c3ad2
35	Cbm_Right_IX	#ffa500
36	Cbm_Right_X	#a52a2a
37	Cbm_Vermis_VI	#009400
38	Cbm_Vermis_CrusII	#ec0db0
39	Cbm_Vermis_VIIb	#2acca4
40	Cbm_Vermis_VIIIa	#67ffff
41	Cbm_Vermis_VIIIb	#3c3ad2
42	Cbm_Vermis_IX	#3c3c3c
43	Cbm_Vermis_X	#00ff7f
44	rh.bankssts_1	#176228
45	rh.bankssts_2	#174d28
46	rh.bankssts_3	#174e28
47	rh.caudalanteriorcingulate_1	#7b629f
48	rh.caudalanteriorcingulate_2	#7b628e
49	rh.caudalanteriorcingulate_3	#7b628f
50	rh.caudalmiddlefrontal_1	#621700
